,frameNo,topLeft,bottomRight
0,185,"(896, 0)","(1194, 233)"
0,185,"(716, 349)","(1014, 582)"
0,185,"(896, 0)","(1194, 233)"
0,185,"(896, 0)","(1194, 233)"
0,185,"(896, 0)","(1194, 233)"
0,186,"(899, 0)","(1197, 233)"
0,186,"(899, 0)","(1197, 233)"
0,186,"(229, 120)","(527, 353)"
0,186,"(899, 0)","(1197, 233)"
0,186,"(899, 0)","(1197, 233)"
0,186,"(899, 0)","(1197, 233)"
0,187,"(904, 0)","(1204, 235)"
0,187,"(904, 0)","(1204, 235)"
0,187,"(248, 120)","(548, 355)"
0,187,"(904, 0)","(1204, 235)"
0,187,"(904, 0)","(1204, 235)"
0,187,"(904, 0)","(1204, 235)"
0,188,"(906, 0)","(1206, 235)"
0,188,"(906, 0)","(1206, 235)"
0,188,"(265, 122)","(565, 357)"
0,188,"(906, 0)","(1206, 235)"
0,188,"(906, 0)","(1206, 235)"
0,188,"(906, 0)","(1206, 235)"
0,189,"(914, 0)","(1216, 237)"
0,189,"(914, 0)","(1216, 237)"
0,189,"(266, 123)","(568, 360)"
0,189,"(914, 0)","(1216, 237)"
0,189,"(914, 0)","(1216, 237)"
0,189,"(914, 0)","(1216, 237)"
0,190,"(926, 0)","(1228, 237)"
0,190,"(926, 0)","(1228, 237)"
0,190,"(259, 120)","(561, 357)"
0,190,"(926, 0)","(1228, 237)"
0,190,"(926, 0)","(1228, 237)"
0,190,"(926, 0)","(1228, 237)"
0,191,"(930, 0)","(1234, 239)"
0,191,"(930, 0)","(1234, 239)"
0,191,"(259, 185)","(563, 424)"
0,191,"(930, 0)","(1234, 239)"
0,191,"(930, 0)","(1234, 239)"
0,191,"(930, 0)","(1234, 239)"
0,192,"(937, 0)","(1241, 239)"
0,192,"(937, 0)","(1241, 239)"
0,192,"(261, 193)","(565, 432)"
0,192,"(937, 0)","(1241, 239)"
0,192,"(937, 0)","(1241, 239)"
0,192,"(937, 0)","(1241, 239)"
0,193,"(948, 0)","(1254, 241)"
0,193,"(948, 0)","(1254, 241)"
0,193,"(264, 193)","(570, 434)"
0,193,"(948, 0)","(1254, 241)"
0,193,"(948, 0)","(1254, 241)"
0,193,"(948, 0)","(1254, 241)"
0,194,"(955, 0)","(1261, 241)"
0,194,"(955, 0)","(1261, 241)"
0,194,"(576, 341)","(882, 582)"
0,194,"(955, 0)","(1261, 241)"
0,194,"(955, 0)","(1261, 241)"
0,194,"(955, 0)","(1261, 241)"
0,195,"(960, 0)","(1268, 243)"
0,195,"(960, 0)","(1268, 243)"
0,195,"(578, 339)","(886, 582)"
0,195,"(960, 0)","(1268, 243)"
0,195,"(960, 0)","(1268, 243)"
0,195,"(960, 0)","(1268, 243)"
0,196,"(969, 0)","(1277, 243)"
0,196,"(969, 0)","(1277, 243)"
0,196,"(581, 339)","(889, 582)"
0,196,"(969, 0)","(1277, 243)"
0,196,"(969, 0)","(1277, 243)"
0,196,"(969, 0)","(1277, 243)"
0,197,"(970, 0)","(1280, 245)"
0,197,"(970, 0)","(1280, 245)"
0,197,"(592, 337)","(902, 582)"
0,197,"(970, 0)","(1280, 245)"
0,197,"(970, 0)","(1280, 245)"
0,197,"(970, 0)","(1280, 245)"
0,198,"(970, 0)","(1280, 245)"
0,198,"(970, 0)","(1280, 245)"
0,198,"(593, 337)","(903, 582)"
0,198,"(970, 0)","(1280, 245)"
0,198,"(970, 0)","(1280, 245)"
0,198,"(970, 0)","(1280, 245)"
0,199,"(968, 0)","(1280, 247)"
0,199,"(968, 0)","(1280, 247)"
0,199,"(599, 335)","(911, 582)"
0,199,"(968, 0)","(1280, 247)"
0,199,"(968, 0)","(1280, 247)"
0,199,"(968, 0)","(1280, 247)"
0,200,"(402, 0)","(714, 247)"
0,200,"(402, 0)","(714, 247)"
0,200,"(626, 335)","(938, 582)"
0,200,"(402, 0)","(714, 247)"
0,200,"(968, 0)","(1280, 247)"
0,200,"(968, 0)","(1280, 247)"
0,201,"(966, 0)","(1280, 249)"
0,201,"(966, 0)","(1280, 249)"
0,201,"(778, 333)","(1092, 582)"
0,201,"(966, 0)","(1280, 249)"
0,201,"(966, 0)","(1280, 249)"
0,201,"(966, 0)","(1280, 249)"
0,202,"(966, 0)","(1280, 249)"
0,202,"(966, 0)","(1280, 249)"
0,202,"(790, 334)","(1104, 583)"
0,202,"(966, 0)","(1280, 249)"
0,202,"(966, 0)","(1280, 249)"
0,202,"(966, 0)","(1280, 249)"
0,203,"(964, 0)","(1280, 251)"
0,203,"(964, 0)","(1280, 251)"
0,203,"(800, 331)","(1116, 582)"
0,203,"(964, 0)","(1280, 251)"
0,203,"(964, 0)","(1280, 251)"
0,203,"(964, 0)","(1280, 251)"
0,204,"(964, 0)","(1280, 251)"
0,204,"(964, 0)","(1280, 251)"
0,204,"(243, 163)","(559, 414)"
0,204,"(964, 0)","(1280, 251)"
0,204,"(964, 0)","(1280, 251)"
0,204,"(964, 0)","(1280, 251)"
0,205,"(959, 0)","(1277, 253)"
0,205,"(959, 0)","(1277, 253)"
0,205,"(242, 150)","(560, 403)"
0,205,"(959, 0)","(1277, 253)"
0,205,"(959, 0)","(1277, 253)"
