country,HPC,manufacture,year
China,ThinkSystem HR630X,Lenovo,2020
United States,Betty - Cray CS500,HPE,2020
China,MagicCube3 - Sugon TC6000,Sugon,2020
China,I1 - Lenovo HR650x,Lenovo,2020
Japan,ATERUI II  - Cray XC50,Cray/HPE,2020
United States,Greene - ThinkSystem SR650,Lenovo,2020
United States,Cannon - ThinkSystem SD650,Lenovo,2020
China,JD I1 - ThinkSystem SR650,Lenovo,2020
China,Tianhe-2 LvLiang Solution - Tianhe-2 LvLiang,NUDT,2020
China,J1 - Lenovo HR650x,Lenovo,2020
United States,Koehr - HPE SGI 8600,HPE,2020
United States,Gaffney - HPE SGI 8600,HPE,2020
Japan,Grand Chariot - PRIMERGY CX2550 M4 M4,Fujitsu,2020
Japan,A64FX prototype - Fujitsu A64FX,Fujitsu,2020
China,TTSystem - Sugon TC6000,Sugon,2020
China,K1 - Lenovo HR650x,Lenovo,2020
France,Gaïa - Bull intel Cluster,Atos,2020
China,HKVDPSystem - Sugon TC6000,Sugon,2020
Germany,Mogon II - NEC Cluster,NEC/MEGWARE,2020
United States,Biowulf - Apollo 2000 Gen 8/9,HPE,2020
Japan,SGI ICE X,HPE,2020
China,CTcluster - Sugon TC6000,Sugon,2020
United States,Amazon EC2 C5 Instance cluster us-east-1a - Amazon EC2 Instance Cluster C5,Amazon Web Services,2020
China,Huawei 2288H V5,"Huawei Technologies Co., Ltd.",2020
Switzerland,Piz Daint Multicore - Cray XC40,Cray/HPE,2020
China,A1 - Lenovo HR650x,Lenovo,2020
France,Tera-1000-1 - bullx DLC 720,Atos,2020
China,Inspur NF5468M5,Inspur,2020
Brazil,Santos Dumont (SDumont) - Bull Sequana X1000,Atos,2020
United States,Phoenix - Relion XE2142/XE1114GT,"Penguin Computing, Inc.",2020
China,bsystem - Sugon TC6000,Sugon,2020
United States,Astra - Apollo 70,HPE,2020
United Kingdom,scafellpike - Bull Sequana X1000,Atos,2020
China,JGV100System - Sugon TC6000,Sugon,2020
China,INSPUR SA5212M5,Inspur,2020
China,szaisystem - Sugon TC6000,Sugon,2020
China,Bank P A2 - ThinkSystem SR650,Lenovo,2020
China,JCSystem - Sugon TC6000,Sugon,2020
China,S1 - ThinkSystem Flex SN550,Lenovo,2020
Sweden,Beskow - Cray XC40,Cray/HPE,2020
China,ESSystem - Sugon TC6000,Sugon,2020
Japan,Molecular Simulator - NEC LX Cluster,NEC,2020
China,R1 - ThinkSystem Flex SN550,Lenovo,2020
United Arab Emirates,POD3 - Huawei Cluster,"Huawei Technologies Co., Ltd.",2020
Germany,QURIOSITY - Apollo XL230k,HPE,2020
Germany,CARA - NEC LX Cluster,NEC,2020
China,ThinkSystem SR590,Lenovo,2020
China,CSystem - Sugon TC6000,Sugon,2020
China,Q1 - ThinkSystem Flex SN550,Lenovo,2020
China,Inspur SA5212H5,Inspur,2020
China,Internet Company T DD1 - Lenovo RD350,Lenovo,2020
Germany,Huawei X6000,"Huawei Technologies Co., Ltd.",2020
Japan,PRIMERGY CX2550 M4,Fujitsu,2020
Finland,Puhti - Bull Sequana X1000,Atos,2020
China,P1 - ThinkSystem Flex SN550,Lenovo,2020
United States,SwiftLucy - Cluster Platform 3000 BL460c Gen9,HPE,2020
Japan,AFI-NITY - PRIMERGY CX2550 M4,Fujitsu,2020
China,TaiYi - ThinkSystem SD530,Lenovo,2020
China,ThinkSystem SD650,Lenovo,2020
China,ISystem - Sugon TC6000,Sugon,2020
China,Internet Service D - Huawei 1288H V5,"Huawei Technologies Co., Ltd.",2020
Poland,Prometheus - HP Apollo 8000,HPE,2020
China,O1 - ThinkSystem Flex SN550,Lenovo,2020
United States,Endeavor - Intel Cluster,Intel,2020
China,Internet Company T Y1 - Lenovo RD450,Lenovo,2020
Japan,MN-3 - MN-Core Server,Preferred Networks,2020
China,ThinkSystem SR570,Lenovo,2020
Australia,Software Company (M) AA1 - Lenovo C1040,Lenovo,2020
Canada,Software Company (M) CA3 - Lenovo C1040,Lenovo,2020
Canada,Software Company (M) CA2 - Lenovo C1040,Lenovo,2020
Canada,Software Company (M) CA1 - Lenovo C1040,Lenovo,2020
Canada,Lenovo C1040,Lenovo,2020
United States,Software Company (M) A16 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A15 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A14 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A13 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A11 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A10 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A9 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A8 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A7 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A6 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A4 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A3 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A2 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A1 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A12 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A5 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A26 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A38 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A37 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A36 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A35 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A34 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A33 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A32 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A31 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A30 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A29 - Lenovo C1040,Lenovo,2020
United States,Software Company (M) A28 - Lenovo C1040,Lenovo,2020
United States,Lenovo C1040,Lenovo,2020
Netherlands,NA5 - Lenovo C1040,Lenovo,2020
Netherlands,NA4 - Lenovo C1040,Lenovo,2020
Netherlands,NA3 - Lenovo C1040,Lenovo,2020
Netherlands,NA2 - Lenovo C1040,Lenovo,2020
Netherlands,NA1 - Lenovo C1040,Lenovo,2020
Ireland,IA4 - Lenovo C1040,Lenovo,2020
Ireland,IA3 - Lenovo C1040,Lenovo,2020
Ireland,IA2 - Lenovo C1040,Lenovo,2020
Ireland,IA1 - Lenovo C1040,Lenovo,2020
Singapore,SB3 - Lenovo C1040,Lenovo,2020
Singapore,SB2 - Lenovo C1040,Lenovo,2020
Ireland,Lenovo C1040,Lenovo,2020
Singapore,Lenovo C1040,Lenovo,2020
Netherlands,NA12 - Lenovo C1040,Lenovo,2020
Netherlands,NA11 - Lenovo C1040,Lenovo,2020
Netherlands,NA10 - Lenovo C1040,Lenovo,2020
Netherlands,NA9 - Lenovo C1040,Lenovo,2020
Netherlands,NA8 - Lenovo C1040,Lenovo,2020
Netherlands,NA7 - Lenovo C1040,Lenovo,2020
Ireland,IA13 - Lenovo C1040,Lenovo,2020
Hong Kong,HKA1 - Lenovo C1040,Lenovo,2020
Netherlands,NA6 - Lenovo C1040,Lenovo,2020
Singapore,SB5 - Lenovo C1040,Lenovo,2020
Ireland,IA14 - Lenovo C1040,Lenovo,2020
Netherlands,NA15 - Lenovo C1040,Lenovo,2020
Japan,J2 - Lenovo C1040,Lenovo,2020
Netherlands,NA14 - Lenovo C1040,Lenovo,2020
Netherlands,NA13 - Lenovo C1040,Lenovo,2020
Norway,NY A2 - Lenovo C1040,Lenovo,2020
Norway,NY A1 - Lenovo C1040,Lenovo,2020
United Kingdom,Cumulus-Cascadelake - PowerEdge C6420,Dell EMC,2020
United Kingdom,ARCHER - Cray XC30,Cray/HPE,2020
United States,Surge - Cray XC40,Cray/HPE,2020
United States,Luna - Cray XC40,Cray/HPE,2020
Canada,Cedar-2 - PowerEdge C6320/C6420,Dell EMC,2020
China,ThinkSystem SR650,Lenovo,2020
United States,Bell - PowerEdge C6525,Dell EMC,2020
Brazil,Ogbon Cimatec/Petrobras - Bull Sequana X1000,Atos,2020
China,Internet Company T X2 - Lenovo RD450,Lenovo,2020
Japan,HOKUSAI BigWaterfall	 - PRIMERGY CX2550 M4,Fujitsu,2020
China,U3 - ThinkSystem SR650,Lenovo,2020
United States,Power 775,IBM,2020
Japan,Cygnus - NEC LX Cluster,NEC,2020
China,Sugon TC6000,Sugon,2020
China,U2 - ThinkSystem SR650,Lenovo,2020
China,ThinkSystem HR650X,Lenovo,2020
China,Internet Company T Z1 - Lenovo RD450,Lenovo,2020
China,Internet Company T X1 - Lenovo RD450,Lenovo,2020
United States,LANL CTS-1 Grizzly - Tundra Extreme Scale,"Penguin Computing, Inc.",2020
China,U1 - ThinkSystem SR650,Lenovo,2020
China,TaiYi GPU - ThinkSystem SD530,Lenovo,2020
China,Internet Company T AA1 - Lenovo RD450,Lenovo,2020
United Kingdom,Jade2 - Nvidia DGX1-MaxQ,Atos,2020
United States,Satori - IBM Power System AC922,IBM,2020
Czechia,Salomon - SGI ICE X,HPE,2020
China,ThinkSystem SD530,Lenovo,2020
China,N1 - ThinkSystem SD530,Lenovo,2020
China,Huawei G5500,"Huawei Technologies Co., Ltd.",2020
China,HSystem19 - Sugon TC6000,Sugon,2020
United Kingdom,Blue Joule - BlueGene/Q,IBM,2020
China,Pre Earth Simulatorv2 - Sugon Si-Cube,Sugon,2020
China,XJSCSystem - Sugon TC6000,Sugon,2020
China,HKVSSystem - Sugon TC6000,Sugon,2020
China,BtACC - Sugon TC6000,Sugon,2020
United States,Spirit - SGI ICE X,HPE,2020
China,Inspur NF5588M4,Inspur,2020
China,Inspur TS10000 HPC Server,Inspur,2020
China,TSystem - Sugon TC6000,Sugon,2020
United States,Palmetto2 - HP SL250s /Lenovo NX360M5,HPE,2020
China,GSACC - Sugon TC6000,Sugon,2020
China,SWARM - C4130/1028GQ,SuperMicro/DellEMC,2020
Japan,MN-1 - SuperServer 4028GR-TR2,NTT Communications / NTT PC Communications,2020
China,GCloud - Sugon TC6000,Sugon,2020
China,Bsystem - Sugon TC6000,Sugon,2020
France,Sid - bullx DLC 720,Atos,2020
United States,SNL/NNSA CTS-1 Eclipse - Tundra Extreme Scale,"Penguin Computing, Inc.",2020
France,Curie thin nodes - Bullx B510,Atos,2020
China,Inspur TS10000,Inspur,2020
China,Inspur NF5280M,Inspur,2020
China,JD B1 - Lenovo x3650,Lenovo,2020
China,Lenovo HR650x,Lenovo,2020
China,INSPUR NF5288M5,Inspur,2020
China,SGSystem - Sugon TC6000,Sugon,2020
China,Earth Bigdata - Sugon TC6000,Sugon,2020
Canada,Cedar - Dell C4130,Dell EMC,2020
Japan,HPE SGI 8600,HPE,2020
Taiwan,Taiwania - PRIMERGY CX2550 M4/CX2560 M4/CX2570 M4,Fujitsu,2020
China,Internet Company T EE2 - Lenovo HR650x,Lenovo,2020
China,Internet Company T EE1 - Lenovo HR650x,Lenovo,2020
China,Internet Company T FF1 - Lenovo HR650x,Lenovo,2020
