country,HPC,manufacture,year
Spain,ALTAMIRA - iDataPlex DX360M4,IBM,2012
France,xSeries x3550M3 Cluster,IBM,2012
United States,Discover - iDataPlex,IBM,2012
Japan,Hitachi SR16000 Model XM1/108,Hitachi,2012
United States,eServer Blue Gene Solution,IBM,2012
United States,Coastal - Dell DCS Xanadu 2.5,Dell EMC,2012
Spain,Magerit - BladeCenter PS702 Express,IBM,2012
Canada,iDataPlex DX360M3,IBM,2012
United States,BlueGene/P,IBM,2012
United States,xSeries iDataPlex,IBM,2012
India,Cluster Platform SL390s G7,HPE,2012
United States,Dawson2 - HP ProLiant SL390s G7 Xeon X5650,HPE,2012
United States,xSeries x3650M3,IBM,2012
Russia,Cluster Platform SL390s G7,HPE,2012
United Kingdom,xSeries x3650M3,IBM,2012
United Arab Emirates,BuTinah - Cluster Platform SL390/BL2x220,HPE,2012
United Kingdom,Cluster Platform 3000 BL460c G7,HPE,2012
United States,Cluster Platform SL170s/160z,HPE,2012
United States,Abe - PowerEdge 1955,Dell EMC,2012
China,xSeries x3650M3,IBM,2012
United States,Hrothgar - Poweredge Cluster,Dell EMC,2012
Singapore,Cluster Platform SL390s G7,HPE,2012
United States,Trestles - Appro 1U-1143H Cluster,Cray/HPE,2012
United States,Columbia - SGI Altix 1.5/1.6/1.66 GHz,HPE,2012
Germany,BladeCenter HS22 Cluster,IBM,2012
United Kingdom,Cluster Platform 4000 BL685c G7,HPE,2012
Poland,Galera Plus - ACTION Xeon HP BL2x220/BL490 E5345/L5640 Infiniband,ACTION,2012
Ireland,Cluster Platform 3000 BL460c G7,HPE,2012
Australia,BladeCenter HX5,IBM,2012
Germany,SuperMIG - BladeCenter HX5,IBM,2012
Japan,DEGIMA - DEGIMA Cluster,Self-made,2012
Brazil,Galileu - Sun Blade x6048,Oracle,2012
Belgium,iDataPlex,IBM,2012
Japan,xSeries x3650M2 Cluster,IBM,2012
Poland,Boreas - Power 775,IBM,2012
Spain,MareNostrum - BladeCenter JS21 Cluster,IBM,2012
United States,xSeries x3850M2 Cluster Xeon QC GT 2.53 GHz,IBM,2012
Saudi Arabia,Cluster Platform 3000 BL280c G6,HPE,2012
Saudi Arabia,PLCI - Dell PowerEdge M610 Cluster,ClusterVision/Dell,2012
Japan,HP DL160 Cluster G6,HPE,2012
France,iDataPlex,IBM,2012
United States,xSeries x3650 Cluster Xeon QC GT 2.66 GHz,IBM,2012
Sweden,Ekman - PowerEdge SC1435 Dual core Opteron 2.2 GHz,Dell EMC,2012
South Africa,Tsessebe - Blade X6275/ PowerEdge C6100 Cluster,Dell/Oracle,2012
Italy,BladeCenter HS23 Cluster,IBM,2012
United States,Cluster Platform 3000 280c G7,HPE,2012
United States,Roadrunner - BladeCenter QS22/LS21 Cluster,IBM,2012
United States,Ranger - SunBlade x6420,Oracle,2012
France,Manny - Bullx B510,Atos,2012
United States,Ruby - Cray XC30,Cray/HPE,2012
United States,Encanto - SGI Altix ICE 8200,HPE,2012
United States,Cerrillos - BladeCenter QS22/LS21 Cluster,IBM,2012
Japan,xSeries x3650M3,IBM,2012
Japan,PRIMERGY RX300 S7,Fujitsu,2012
United States,Cluster Platform 3000SL SL170s/160z,HPE,2012
United States,BladeCenter HX5,IBM,2012
United States,Cluster Platform SL160z,HPE,2012
France,Frontier2 BG/L - Blue Gene/P Solution,IBM,2012
Germany,Cluster Platform 3000 BL2x220,HPE,2012
United Kingdom,xSeries iDataPlex,IBM,2012
China,iDataPlex DX360M3,IBM,2012
Mexico,Cluster Platform SL230s Gen8,HPE,2012
United States,Boomer - Dell R620/R720,Dell EMC,2012
United States,BGW - eServer Blue Gene Solution,IBM,2012
India,Virgo - iDataPlex DX360M4,IBM,2012
United States,Fission - Appro Xtreme-X3 Opteron 2.4GHz,Cray/HPE,2012
United States,sJet - Appro Xtreme-X Supercomputer,Cray/HPE,2012
Taiwan,Formosa 5 - Hybrid Cluster,Self-made,2012
Poland,Rackable C1103-G15,HPE,2012
Taiwan,Cluster Platform SL230s Gen8,HPE,2012
United Kingdom,BladeCenter HS22 Cluster,IBM,2012
France,Cluster Platform 3000 BL460c G6,HPE,2012
United States,Cluster Platform 3000 DL165,HPE,2012
France,Layon - Bull bullx super-node S6010/S6030,Atos,2012
France,Curie fat nodes - Bullx S6010 Cluster,Atos,2012
Italy,BladeCenter HS22 Cluster,IBM,2012
China,BladeCenter HS22 Cluster,IBM,2012
Australia,HP Pod BL2x220,HPE,2012
United States,Cluster Platform 4000 BL685c G7,HPE,2012
United States,rzuseq - BlueGene/Q,IBM,2012
Canada,BGQdev - BlueGene/Q,IBM,2012
United States,BlueRidge - Appro Xtreme-X Supercomputer,Cray/HPE,2012
Germany,CHEOPS - Bullx Supernode/Blade  Xeon X5550/X5650 2.66 Ghz,Atos,2012
United States,Intel IT SCTO HPC A - Cluster Platform 3000 BL460c Gen8,HPE,2012
United States,Graph - Appro Xtreme-X3 Opteron 2.0GHz,Cray/HPE,2012
United States,Typhoon - Appro Xtreme Opteron 2 GHz,Cray/HPE,2012
Japan,Cluster Platform SL230s/SL250s,HPE,2012
United States,Nimbus - Appro GreenBlade 512X,Cray/HPE,2012
United States,New York Blue - eServer Blue Gene Solution,IBM,2012
United States,Blues - Appro Xtreme-X Supercomputer,Cray/HPE,2012
United Kingdom,N8 - Raackable Cluster,HPE,2012
United Kingdom,iDataPlex DX360M3,IBM,2012
United States,BladeCenter HS22 Cluster,IBM,2012
United States,Mana - Dell PowerEdge M610 Cluster,Dell EMC,2012
United States,KillDevil - PowerEdge C6100 Cluster,Dell EMC,2012
Germany,CASE Cluster - Oracle Blade Server X6275,Oracle,2012
United States,Oakley - Cluster Platform SL390s G7,HPE,2012
Australia,Cluster Platform 3000 BL460c Gen8,HPE,2012
United States,Power 575,IBM,2012
Italy,Power 575,IBM,2012
Germany,BladeCenter HS22 Cluster (WM),IBM,2012
United States,Cernan - iDataPlex DX360M4,IBM,2012
United States,Cluster Platform 3000 BL460c G6,HPE,2012
Israel,BladeCenter HS22 Cluster,IBM,2012
Japan,T2K Open Supercomputer - Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz,Cray/HPE,2012
United States,BladeCenter HS21 Cluster,IBM,2012
Canada,Colosse - Sun Blade x6048,Oracle,2012
Canada,Orcinus - Cluster Platform 3000 BL 2x220,HPE,2012
Slovakia,Power 775,IBM,2012
Finland,Cray XT5/XT4 QC 2.3 GHz,Cray/HPE,2012
United States,DARPA Trial Subset - Power 775,IBM,2013
United States,Pleiades - SGI ICE X/8200EX/8400EX,HPE,2013
Japan,TSUBAME 2.0 - HP ProLiant SL390s G7 Xeon 6C X5670,NEC/HPE,2013
United States,Raptor - Cray XE6,Cray/HPE,2013
United States,Zeus - SGI Altix ICE 8400EX,HPE,2013
Finland,Sisu - Cray Cascade,Cray/HPE,2013
United States,Cray XE6,Cray/HPE,2013
Japan,SGI Altix ICE 8400EX Xeon X5570 4-core 2.93 GHz,HPE,2013
United States,Diamond - SGI Altix ICR 8200 Enh. LX,HPE,2013
United States,Seneca Data Cluster,Seneca Data,2013
United Kingdom,Power 575,IBM,2013
Germany,Power 575,IBM,2013
China,Cluster Platform 3000 BL460c G7,HPE,2013
United Kingdom,Cluster Platform 3000 BL280c G6,HPE,2013
Germany,iDataPlex DX360M3,IBM,2013
United States,MRAP - Cray XT5 SixCore,Cray/HPE,2013
United Kingdom,EMERALD - Cluster Platform SL390s G7,HPE,2013
France,ENER110 - Bullx B510,Atos,2013
United States,SuperMike-II - Dell PowerEdge C6220,Dell EMC,2013
Japan,Fujitsu FX1,Fujitsu,2013
Italy,Aurora - Eurotech Aurora,Eurotech,2013
United States,Beacon - Appro GreenBlade GB824M,Cray/HPE,2013
France,Curie hybrid - Bullx B505,Atos,2013
United States,HP DL180se,HPE,2013
United States,SGI Altix ICE 8200 Enhanced LX,HPE,2013
Canada,Lattice - DL170/SL390,HPE,2013
France,GENCI-CCRT-Titane - BULL Novascale R422-E2,Atos,2013
United Kingdom,Cluster Platform 4000 BL465c,HPE,2013
United States,Copper - Cray XE6m-200,Cray/HPE,2013
Saudi Arabia,PLCI+PLCH - PowerEdge M610 Cluster,Dell EMC,2013
Germany,SGI Altix ICE 8200EX,HPE,2013
France,Bull Benchmarks SuperComputer I - Bullx B510,Atos,2013
South Korea,Chundoong - Chundoong Cluster,ManyCoreSoft,2013
France,SGI Altix ICE 8200EX,HPE,2013
United States,Muir - Dell Xanadu 3 Cluster,Dell EMC,2013
Russia,Uran - ClusterPlatform SL390s/SL270s,HPE,2013
Poland,Cluster Platform 3000 BL 2x220,HPE,2013
United Kingdom,Bluecrystal Phase 3 - PowerEdge C8220,ClusterVision,2013
Japan,Cray XC30,Cray/HPE,2013
Germany,Cluster Platform 3000 BL490c G7,HPE,2013
Spain,Bullx B505,Atos,2013
United Kingdom,xSeries x3550M3 Cluster,IBM,2013
China,DeepComp 7000,Lenovo,2013
China,xSeries x3630 Cluster,IBM,2013
United States,Olympus - Atipa Cluster,Atipa Technology,2013
United States,Hera - Appro Xtreme-X3 Server - Quad Opteron Quad Core 2.3 GHz,Cray/HPE,2013
Australia,xSeries x3650M3 Cluster,IBM,2013
